TK20-2;TK20-3;TK20-4;TK20-5;TK20-6;TK20-7;TK20-8;TK20-9;TK20-10;TK20-11;TK20-12;TK20-13;TK20-14;TK20-15;TK20-16;TK20-17;TK20-18;TK20-19;TK20-20;TK20-21;TK20-22;TK20-23;TK20-24;TK20-25;TK20-26;TK20-27;TK20-28;TK20-29;TK20-30
344;338;872;944;187;83;17;47;6;412;774;355;4769;992;2959;18;1;30;0;139;646;363;962;956;884;246;0;23;70
5776;14725;4922;3000;3304;646;298;448;401;10733;5590;9648;80899;8926;783;234;65;190;71;13144;6740;9200;4332;4624;911;186;4;149;412
4;5;3;2;9;295;4380;10308;7;16;13;4;29;0;23;167;1190;5087;3;3;15;11;10;9;1;5;5;8557;16
83;73;56;11;18;64;125;306;1;84;181;61;387;4;83;42;23;156;0;36;117;52;113;25;16;63;2;43;9
1798;886;2251;3176;437;1598;2589;7291;4790;261;3532;785;14943;1829;8676;1151;2294;3138;8;174;2186;555;2508;2096;3313;2074;65;2503;2538
292;595;540;29;89;75;12;63;11;234;388;362;2452;18;254;28;143;31;0;231;318;414;708;74;25;38;14;67;27
4762;4298;3332;410;115;233;115;110;19;1641;9980;3243;18963;590;368;76;165;90;12;926;7150;3186;3694;1173;142;228;23;103;136
963;582;485;43;17;45;15;21;3;1101;1283;506;2671;25;37;6;5;17;1;599;1411;251;288;61;23;16;0;18;30
7580;4485;3234;548;109;420;150;725;143;3323;18756;4070;17826;598;1194;217;233;283;10;1564;10617;2723;3106;907;247;247;14;383;259
336;258;309;946;179;467;400;683;55;276;638;183;2377;617;3648;741;767;450;5;133;513;218;389;1699;1546;1370;35;505;117
131;106;104;46;43;151;86;179;8;52;244;78;609;12;232;66;18;86;0;18;164;70;93;47;35;62;0;65;20
543;265;212;118;234;366;79;45;8;403;999;112;1221;86;515;128;146;24;2;223;615;151;384;100;127;72;5;23;28
59;22;10;8;4;6;5;7;0;644;106;9;48;2;32;9;3;12;0;118;44;10;6;7;8;6;0;5;2
529;345;313;14;50;90;10;10;1;723;959;239;2071;14;129;12;7;9;5;294;647;181;381;58;26;43;0;16;14
229;8;3;5;7;4;3;3;2;145;466;6;57;2;39;17;5;1;0;34;191;9;62;15;2;33;0;0;5
497;178;248;242;30;56;10;12;4;169;706;120;961;153;166;10;6;11;1;91;462;93;149;294;194;48;1;23;10
1069;1013;1163;249;71;111;80;11;7;512;1844;887;6064;216;266;18;8;25;3;383;1329;729;1086;1105;108;75;0;15;60
9141;2687;2607;512;333;500;85;32;17;1496;15269;1750;13820;516;1204;204;7;30;6;696;13579;1507;3085;868;442;352;0;38;65
807;369;410;68;44;154;99;588;789;1084;1479;251;2486;54;403;70;67;147;1;631;1008;199;468;167;128;156;5;184;500
8256;3750;3368;3970;884;2536;838;1692;654;4320;17322;2776;19377;2565;10838;1313;679;710;13;2078;10803;2680;4053;10405;5381;4354;128;857;936
599;708;575;3194;230;593;157;1711;324;543;1287;668;4478;1332;3968;501;385;464;1;199;926;600;800;1001;3424;1121;42;508;399
144;113;49;24126;1621;67955;20070;58325;2713;73;216;48;204;2761;63390;29470;177926;37043;591;114;163;65;69;696;18093;24223;2526;30338;7500
237;157;96;16;8;16;12;18;6;103;840;72;148;2;47;3;12;9;0;101;1705;201;564;12;2;6;1;13;4
329;271;226;69;100;134;26;17;4;348;2348;126;1431;41;357;70;10;9;0;325;242;115;293;31;55;28;0;5;15
261;31;44;9;4;14;1;4;0;902;652;10;290;7;16;8;7;11;2;321;247;23;30;9;16;6;0;7;4
2125;727;19;19;11;16;33;8;5;945;4179;513;280;42;12;3;1;9;0;546;3189;490;14;10;18;13;0;6;9
190;117;181;6;4;6;4;9;6;193;454;92;565;10;28;1;2;3;0;90;177;57;634;7;16;7;1;3;0
159;89;155;574;62;184;14;15;11;257;445;63;550;169;1613;70;5;8;1;181;167;71;321;323;621;600;1;8;15
221;119;36;26;628;1226;132;15;5;45;388;100;190;5;1054;574;29;8;1;26;276;120;52;44;27;70;1;16;6
1111;543;63;115;2518;4908;553;27;16;184;2577;467;457;22;3837;2318;133;23;2;55;1470;426;164;194;101;229;3;28;11
821;463;366;79;58;76;18;24;27;198;1416;290;2239;67;365;18;3;13;0;138;874;286;387;149;61;28;0;22;34
1833;2933;2642;69;89;94;50;21;17;874;3033;1680;23448;99;183;20;6;30;12;390;1397;1213;4348;288;168;25;0;24;83
105;253;214;313;75;345;377;707;224;278;176;192;1340;330;2210;236;379;331;1;266;144;183;416;1263;655;1216;38;403;281
717;586;654;181;879;27;64;20;24;296;1922;342;3385;121;233;3;4;7;1;330;569;449;779;60;145;24;0;15;12
619;717;741;242;1118;58;34;20;22;358;1457;526;2801;131;116;3;9;11;3;357;538;452;692;95;217;11;1;8;21
27;39;135;55;121;92;22;10;3;29;53;12;2157;112;216;25;22;14;0;22;23;20;31;341;19;25;0;14;41
5208;7318;4433;1801;6813;23408;2296;1372;448;337;13952;6083;19762;1283;48957;19452;3101;943;24;110;8009;3951;4628;2657;1193;5718;73;344;309
