Kingdom;Phylum;Class;Order;Family;Genus;Species
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__0319-6G20; g__; s__
k__Bacteria; p__Actinobacteria; c__Actinobacteria (class); o__Kineosporiales; f__Kineosporiaceae; g__Kineosporia; s__Unknown Kineosporia species 1
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__OM1 clade; g__; s__
k__Bacteria; p__Ca. Parcubacteria; c__; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Solibacteraceae; g__Ca. Solibacter; s__
k__Bacteria; p__Acidobacteria; c__Solibacteres (Acidobacteria group 3); o__Solibacterales; f__Solibacteraceae; g__Ca. Solibacter; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__DA111; g__; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__TRA3-20; f__; g__; s__
k__Bacteria; p__Ca. Microgenomates (OP11); c__Candidatus Woesebacteria; o__; f__; g__; s__
k__Bacteria; p__Bacteroidetes; c__SB-5; o__; f__; g__; s__
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__; s__
k__Bacteria; p__Bacteroidetes; c__Chitinophagia; o__Chitinophagales; f__; g__; s__
k__Bacteria; p__Ignavibacteriae; c__Ignavibacteria; o__Ignavibacteriales; f__BSV26; g__; s__
k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Tepidisphaerales; f__Tepidisphaeraceae; g__; s__
k__Bacteria; p__Acidobacteria; c__Acidobacteria group 17; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Unknown Xanthobacteraceae genus 9; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Variibacter; s__
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes (class); o__Gemmatimonadales; f__Unknown Gemmatimonadales family 3; g__; s__
k__Bacteria; p__Bacteroidetes; c__WCHB1-32; o__; f__; g__; s__
k__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Spirochaeta; s__
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales (Acidobacteria group 8); f__Holophagaceae; g__; s__
k__Bacteria; p__Chloroflexi; c__SBR2076; o__; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Chloroflexales; f__Roseiflexaceae; g__Unknown Roseiflexaceae genus 7; s__
k__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__; s__
k__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae; g__; s__
k__Bacteria; p__Armatimonadetes; c__Armatimonadetes Group 3; o__; f__; g__; s__
k__Bacteria; p__Armatimonadetes; c__Armatimonadetes Group 3; o__; f__; g__; s__
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales (Acidobacteria group 8); f__Holophagaceae; g__; s__
k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales (Acidobacteria group 8); f__Holophagaceae; g__; s__
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__env.OPS 17; g__; s__
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__; s__
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
k__Bacteria; p__Ca. Microgenomates (OP11); c__Candidatus Shapirobacteria; o__; f__; g__; s__
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__
k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Unknown Nitrosomonadales family 2; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__0319-6G20; g__; s__
k__Bacteria; p__Planctomycetes; c__OM190; o__; f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Unknown Archangiaceae genus 7; s__
k__Bacteria; p__Chloroflexi; c__SBR2076; o__; f__; g__; s__
k__Bacteria; p__Chloroflexi; c__Dehalococcoidia (subdiv. 6); o__FW22; f__; g__; s__
k__Bacteria; p__Planctomycetes; c__Planctomycetacia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__
k__Archaea; p__Thaumarchaeota; c__Ca. Allo-Thaumarchaeota; o__FHMa11 terrestrial group (Group 1.1c); f__; g__; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__mle1-27; g__; s__
